tenure,MonthlyCharges,Contract,InternetService,PaymentMethod,Churn_Probability,recommended_service,expected_churn_reduction
1,102.45,Month-to-month,Fiber optic,Electronic check,0.7557720576408019,TechSupport,16.0
1,101.45,Month-to-month,Fiber optic,Electronic check,0.7549349219141261,OnlineSecurity,16.7
1,100.8,Month-to-month,Fiber optic,Electronic check,0.7543897454935201,OnlineSecurity,16.7
1,99.75,Month-to-month,Fiber optic,Electronic check,0.7535073495141291,OnlineSecurity,16.7
2,104.4,Month-to-month,Fiber optic,Electronic check,0.7517852387259432,OnlineSecurity,16.7
1,95.85,Month-to-month,Fiber optic,Electronic check,0.7502112435965649,OnlineSecurity,16.7
1,95.6,Month-to-month,Fiber optic,Electronic check,0.7499989551090197,TechSupport,16.0
1,95.45,Month-to-month,Fiber optic,Electronic check,0.7498715242970455,OnlineSecurity,16.7
1,95.1,Month-to-month,Fiber optic,Electronic check,0.7495740174351572,OnlineSecurity,16.7
1,95.0,Month-to-month,Fiber optic,Electronic check,0.7494889722071912,TechSupport,16.0
1,94.6,Month-to-month,Fiber optic,Electronic check,0.7491485990581783,OnlineSecurity,16.7
3,107.95,Month-to-month,Fiber optic,Electronic check,0.7491197298171668,OnlineSecurity,16.7
1,94.4,Month-to-month,Fiber optic,Electronic check,0.7489782971724582,OnlineSecurity,16.7
1,94.0,Month-to-month,Fiber optic,Electronic check,0.7486374628679229,OnlineSecurity,16.7
1,93.85,Month-to-month,Fiber optic,Electronic check,0.7485095707811485,OnlineSecurity,16.7
1,93.55,Month-to-month,Fiber optic,Electronic check,0.7482536570138948,OnlineSecurity,16.7
2,100.2,Month-to-month,Fiber optic,Electronic check,0.7482178537203572,TechSupport,16.0
1,93.3,Month-to-month,Fiber optic,Electronic check,0.7480402635840768,OnlineSecurity,16.7
3,105.9,Month-to-month,Fiber optic,Electronic check,0.7473703612357703,OnlineSecurity,16.7
1,91.7,Month-to-month,Fiber optic,Electronic check,0.7466717073990976,OnlineSecurity,16.7
3,105.0,Month-to-month,Fiber optic,Electronic check,0.7465997998352579,OnlineSecurity,16.7
1,91.3,Month-to-month,Fiber optic,Electronic check,0.7463288019628926,OnlineSecurity,16.7
1,90.85,Month-to-month,Fiber optic,Electronic check,0.7459426672868366,OnlineSecurity,16.7
1,90.75,Month-to-month,Fiber optic,Electronic check,0.7458568069658207,OnlineSecurity,16.7
1,90.6,Month-to-month,Fiber optic,Electronic check,0.7457279806208397,OnlineSecurity,16.7
1,90.6,Month-to-month,Fiber optic,Electronic check,0.7457279806208397,OnlineSecurity,16.7
1,90.55,Month-to-month,Fiber optic,Electronic check,0.7456850289434688,OnlineSecurity,16.7
1,90.55,Month-to-month,Fiber optic,Electronic check,0.7456850289434688,OnlineSecurity,16.7
2,97.1,Month-to-month,Fiber optic,Electronic check,0.7455630587999609,TechSupport,16.0
1,90.1,Month-to-month,Fiber optic,Electronic check,0.7452982487529386,OnlineSecurity,16.7
